trial_id,condition,sir_db,sir_band,same_gender,target_live,interferer_live,sisdr_yt_st,sisdr_yt_si,sisdr_yi_st,sisdr_yi_si,sel_t,sel_i,rel_movement,level_yt_db,level_yi_db
sir0_val-42-000095,target_only,nan,>= +5,nan,True,False,-0.8855847120285034,nan,-6.097438812255859,nan,5.211853981018066,nan,0.43436819314956665,-4.165389060974121,-9.09376335144043
sir0_val-42-000096,noise_only,nan,>= +5,nan,False,False,nan,nan,nan,nan,nan,nan,0.056960102170705795,-26.694547653198242,-27.02501678466797
sir0_val-42-000097,both,-1.64,-5..0,0.0,True,False,9.360339164733887,nan,-2.0123486518859863,nan,11.372688293457031,nan,0.9506263136863708,-3.421609878540039,-30.879878997802734
sir0_val-42-000098,both,-5.32,< -5,1.0,True,False,17.16895866394043,nan,16.792951583862305,nan,0.376007080078125,nan,0.004953642375767231,-2.6171348094940186,-2.8964498043060303
sir0_val-42-000099,interferer_only,nan,>= +5,0.0,False,True,nan,4.410375118255615,nan,10.44061279296875,nan,6.030237674713135,2.2450311183929443,-10.888893127441406,-3.611633777618408
sir0_val-42-000100,interferer_only,nan,>= +5,1.0,False,True,nan,11.629525184631348,nan,15.829764366149902,nan,4.200239181518555,0.05518592894077301,-3.763266086578369,-2.9990148544311523
sir0_val-42-000101,interferer_only,nan,>= +5,1.0,False,True,nan,-8.675195693969727,nan,13.488602638244629,nan,22.163799285888672,345.6224365234375,-28.421886444091797,-2.8693313598632812
sir0_val-42-000102,both,-6.69,< -5,0.0,True,True,-4.876558780670166,1.1498163938522339,-7.550284385681152,7.212761878967285,2.6737256050109863,6.062945365905762,0.3511071801185608,-4.922151565551758,-2.8214569091796875
sir0_val-42-000103,target_only,nan,>= +5,nan,False,False,nan,nan,nan,nan,nan,nan,0.04567054659128189,-25.654687881469727,-26.03782844543457
sir0_val-42-000104,noise_only,nan,>= +5,nan,False,False,nan,nan,nan,nan,nan,nan,1.3925247192382812,-30.627620697021484,-26.091419219970703
sir0_val-42-000105,both,-8.75,< -5,0.0,True,True,-4.125741481781006,-12.556953430175781,-14.143424987792969,12.707111358642578,10.017683029174805,25.26406478881836,20.909875869750977,-16.34881019592285,-2.7208855152130127
sir0_val-42-000106,target_only,nan,>= +5,nan,True,False,15.908004760742188,nan,9.94569206237793,nan,5.962312698364258,nan,0.09593567997217178,-3.1708836555480957,-4.717350959777832
sir0_val-42-000107,both,-4.81,-5..0,0.0,True,True,-2.746142864227295,-1.5976978540420532,-13.690890312194824,6.810926914215088,10.944747924804688,8.408624649047852,0.6370295286178589,-5.410460948944092,-4.333163261413574
sir0_val-42-000108,target_only,nan,>= +5,nan,True,False,1.2107588052749634,nan,-7.4639892578125,nan,8.674748420715332,nan,0.8182806372642517,-10.270036697387695,-23.19141387939453
sir0_val-42-000109,both,-4.46,-5..0,1.0,True,False,15.793424606323242,nan,0.4630334973335266,nan,15.330390930175781,nan,0.5177772045135498,-2.815732002258301,-8.722850799560547
sir0_val-42-000110,target_only,nan,>= +5,nan,True,False,19.134309768676758,nan,4.345028877258301,nan,14.789280891418457,nan,0.44774889945983887,-2.7430496215820312,-10.133313179016113
sir0_val-42-000111,both,-8.29,< -5,1.0,True,True,-8.793374061584473,8.20079231262207,-20.365455627441406,13.065606117248535,11.572081565856934,4.864813804626465,0.09750101715326309,-2.6502630710601807,-2.857573986053467
sir0_val-42-000112,both,-5.26,< -5,0.0,True,False,18.354158401489258,nan,-2.7435240745544434,nan,21.09768295288086,nan,0.913702666759491,-2.675261974334717,-24.80364990234375
sir0_val-42-000113,both,9.68,>= +5,1.0,True,True,19.624544143676758,-35.643402099609375,18.541175842285156,-35.27263641357422,1.0833683013916016,0.37076568603515625,0.005711231846362352,-2.339048147201538,-2.810250759124756
sir0_val-42-000114,interferer_only,nan,>= +5,1.0,False,True,nan,-32.801368713378906,nan,-27.56077766418457,nan,5.240591049194336,0.5393343567848206,-27.789297103881836,-31.29086685180664
sir0_val-42-000115,interferer_only,nan,>= +5,0.0,False,True,nan,-3.383450508117676,nan,10.395936965942383,nan,13.779387474060059,7.623871326446533,-13.831413269042969,-3.878706455230713
sir0_val-42-000116,both,-8.62,< -5,1.0,True,True,7.639260292053223,-20.50106430053711,6.949276924133301,-20.001192092895508,0.6899833679199219,0.49987220764160156,0.013283182866871357,-3.3055613040924072,-3.7750651836395264
sir0_val-42-000117,target_only,nan,>= +5,nan,True,False,20.439403533935547,nan,20.01495361328125,nan,0.4244499206542969,nan,0.00044621145934797823,-2.211355686187744,-2.2333381175994873
sir0_val-42-000118,interferer_only,nan,>= +5,0.0,False,True,nan,19.282011032104492,nan,20.02042007446289,nan,0.7384090423583984,0.005293171387165785,-2.8558478355407715,-2.632277011871338
sir0_val-42-000119,both,-8.28,< -5,0.0,True,True,-2.3760738372802734,-3.770841360092163,-10.70940113067627,5.594225883483887,8.333327293395996,9.365067481994629,1.8098454475402832,-8.929598808288574,-4.0012407302856445
sir0_val-42-000120,interferer_only,nan,>= +5,1.0,False,True,nan,21.600723266601562,nan,20.466289520263672,nan,-1.1344337463378906,0.0030388482846319675,-2.6385092735290527,-2.6818583011627197
sir0_val-42-000121,interferer_only,nan,>= +5,1.0,False,True,nan,11.938726425170898,nan,22.56313133239746,nan,10.624404907226562,0.07858340442180634,-3.2654800415039062,-2.3000431060791016
sir0_val-42-000122,interferer_only,nan,>= +5,1.0,False,True,nan,14.30968189239502,nan,14.529414176940918,nan,0.21973228454589844,0.00346655142493546,-2.7488279342651367,-2.756223678588867
sir0_val-42-000123,both,1.66,0..+5,1.0,True,True,0.7723537683486938,-1.8957520723342896,-1.0697624683380127,-1.0925569534301758,1.8421162366867065,0.8031951189041138,0.07194141298532486,-3.9847896099090576,-4.629195213317871
