system,trial,judge_wer,asr_wer,ref_words
baseline-10000-e6,sir0_val-42-000130,280.0,280.0,15
baseline-10000-e6,sir0_val-42-000133,82.6086956521739,160.8695652173913,23
baseline-10000-e6,sir0_val-42-000134,96.55172413793103,74.13793103448276,58
baseline-10000-e6,sir0_val-42-000135,129.62962962962962,140.74074074074073,27
baseline-10000-e6,sir0_val-42-000137,19.148936170212767,23.404255319148938,47
baseline-10000-e6,sir0_val-42-000138,97.29729729729729,97.29729729729729,37
baseline-10000-e6,sir0_val-42-000139,227.77777777777777,177.77777777777777,18
baseline-10000-e6,sir0_val-42-000140,52.17391304347826,95.65217391304348,23
baseline-10000-e6,sir0_val-42-000142,41.37931034482759,48.275862068965516,29
baseline-10000-e6,sir0_val-42-000144,46.51162790697674,55.81395348837209,43
baseline-10000-e6,sir0_val-42-000145,28.571428571428573,48.57142857142857,35
baseline-10000-e6,sir0_val-42-000146,52.38095238095238,54.76190476190476,42
baseline-10000-e6,sir0_val-42-000148,2.1739130434782608,56.52173913043478,46
baseline-10000-e6,sir0_val-42-000150,64.58333333333333,39.583333333333336,48
baseline-10000-e6,sir0_val-42-000151,12.962962962962964,31.48148148148148,54
baseline-10000-e6,sir0_val-42-000152,0.0,0.0,22
baseline-10000-e6,sir0_val-42-000153,43.75,87.5,32
baseline-10000-e6,sir0_val-42-000157,36.58536585365854,126.82926829268293,41
baseline-10000-e6,sir0_val-42-000158,73.91304347826087,78.26086956521739,23
baseline-10000-e6,sir0_val-42-000162,91.66666666666667,100.0,24
baseline-10000-e6,sir0_val-42-000163,0.0,12.0,25
baseline-10000-e6,sir0_val-42-000164,181.25,225.0,16
baseline-10000-e6,sir0_val-42-000166,5.2631578947368425,7.894736842105263,38
baseline-10000-e6,sir0_val-42-000169,0.0,35.483870967741936,31
baseline-10000-e6,sir0_val-42-000172,0.0,16.27906976744186,43
baseline-10000-e6,sir0_val-42-000176,0.0,4.761904761904762,21
baseline-10000-e6,sir0_val-42-000178,8.695652173913043,73.91304347826087,23
baseline-10000-e6,sir0_val-42-000179,100.0,66.66666666666667,33
baseline-10000-e6,sir0_val-42-000180,120.6896551724138,96.55172413793103,29
baseline-10000-e6,sir0_val-42-000182,79.62962962962963,64.81481481481481,54
baseline-10000-e6,sir0_val-42-000185,7.894736842105263,7.894736842105263,38
baseline-10000-e6,sir0_val-42-000187,32.142857142857146,32.142857142857146,28
baseline-10000-e6,sir0_val-42-000188,94.11764705882354,0.0,17
baseline-10000-e6,sir0_val-42-000189,200.0,223.07692307692307,13
baseline-10000-e6,sir0_val-42-000190,37.83783783783784,43.24324324324324,37
baseline-10000-e6,sir0_val-42-000192,32.0,20.0,25
baseline-10000-e6,sir0_val-42-000194,8.695652173913043,13.043478260869565,23
baseline-10000-e6,sir0_val-42-000195,70.83333333333333,95.83333333333333,24
baseline-10000-e6,sir0_val-42-000198,2.5,10.0,40
struct-e12,sir0_val-42-000002,114.28571428571429,105.71428571428571,35
struct-e12,sir0_val-42-000004,62.0,34.0,50
struct-e12,sir0_val-42-000005,53.65853658536585,73.17073170731707,41
struct-e12,sir0_val-42-000008,53.65853658536585,100.0,41
struct-e12,sir0_val-42-000010,90.625,43.75,32
struct-e12,sir0_val-42-000011,128.57142857142858,100.0,21
struct-e12,sir0_val-42-000012,281.8181818181818,236.36363636363637,11
struct-e12,sir0_val-42-000014,32.25806451612903,9.67741935483871,31
struct-e12,sir0_val-42-000015,144.0,88.0,25
struct-e12,sir0_val-42-000019,34.09090909090909,27.272727272727273,44
struct-e12,sir0_val-42-000021,0.0,0.0,30
struct-e12,sir0_val-42-000023,57.142857142857146,71.42857142857143,14
struct-e12,sir0_val-42-000024,100.0,48.275862068965516,29
